@relation HW4_TRAIN_SONAR_NOISE

@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute F17 numeric
@attribute F18 numeric
@attribute F19 numeric
@attribute F20 numeric
@attribute F21 numeric
@attribute F22 numeric
@attribute F23 numeric
@attribute F24 numeric
@attribute F25 numeric
@attribute F26 numeric
@attribute F27 numeric
@attribute F28 numeric
@attribute F29 numeric
@attribute F30 numeric
@attribute F31 numeric
@attribute F32 numeric
@attribute F33 numeric
@attribute F34 numeric
@attribute F35 numeric
@attribute F36 numeric
@attribute F37 numeric
@attribute F38 numeric
@attribute F39 numeric
@attribute F40 numeric
@attribute F41 numeric
@attribute F42 numeric
@attribute F43 numeric
@attribute F44 numeric
@attribute F45 numeric
@attribute F46 numeric
@attribute F47 numeric
@attribute F48 numeric
@attribute F49 numeric
@attribute F50 numeric
@attribute F51 numeric
@attribute F52 numeric
@attribute F53 numeric
@attribute F54 numeric
@attribute F55 numeric
@attribute F56 numeric
@attribute F57 numeric
@attribute F58 numeric
@attribute F59 numeric
@attribute F60 numeric
@attribute F61 numeric
@attribute F62 numeric
@attribute F63 numeric
@attribute F64 numeric
@attribute F65 numeric
@attribute F66 numeric
@attribute F67 numeric
@attribute F68 numeric
@attribute F69 numeric
@attribute F70 numeric
@attribute F71 numeric
@attribute F72 numeric
@attribute F73 numeric
@attribute F74 numeric
@attribute F75 numeric
@attribute F76 numeric
@attribute F77 numeric
@attribute F78 numeric
@attribute F79 numeric
@attribute F80 numeric
@attribute F81 numeric
@attribute F82 numeric
@attribute F83 numeric
@attribute F84 numeric
@attribute F85 numeric
@attribute F86 numeric
@attribute F87 numeric
@attribute F88 numeric
@attribute F89 numeric
@attribute F90 numeric
@attribute CLASS_LABEL {1,-1}

@data
0.0152,0.0102,0.0113,0.0263,0.0097,0.0391,0.0857,0.0915,0.0949,0.1504,0.1911,0.2115,0.2249,0.2573,0.1701,0.2023,0.2538,0.3417,0.4026,0.4553,0.5525,0.5991,0.5854,0.7114,0.95,0.9858,1,0.9578,0.8642,0.7128,0.5893,0.4323,0.2897,0.1744,0.077,0.2297,0.2459,0.3101,0.3312,0.222,0.0871,0.2064,0.1808,0.1624,0.112,0.0815,0.1117,0.095,0.0412,0.012,0.0048,0.0049,0.0041,0.0036,0.0013,0.0046,0.0037,0.0011,0.0034,0.0033,0.36697,0.045281,0.48489,0.5268,0.38744,0.458,0.74976,0.23578,0.2317,0.45484,0.24467,0.42428,0.90768,0.73765,0.18505,0.21547,0.56188,0.34301,0.35308,0.80181,0.7617,0.16875,0.96815,0.60651,0.41648,0.12443,0.33937,0.7035,0.69971,0.44665,-1
0.0317,0.0956,0.1321,0.1408,0.1674,0.171,0.0731,0.1401,0.2083,0.3513,0.1786,0.0658,0.0513,0.3752,0.5419,0.544,0.515,0.4262,0.2024,0.4233,0.7723,0.9735,0.939,0.5559,0.5268,0.6826,0.5713,0.5429,0.2177,0.2149,0.5811,0.6323,0.2965,0.1873,0.2969,0.5163,0.6153,0.4283,0.5479,0.6133,0.5017,0.2377,0.1957,0.1749,0.1304,0.0597,0.1124,0.1047,0.0507,0.0159,0.0195,0.0201,0.0248,0.0131,0.007,0.0138,0.0092,0.0143,0.0036,0.0103,0.69662,0.75099,0.83322,0.2693,0.30827,0.42421,0.30593,0.48934,0.78104,0.29688,0.55014,0.56253,0.46372,0.15359,0.72528,0.13585,0.28841,0.95392,0.21768,0.61265,0.98724,0.73519,0.93005,0.1741,0.36998,0.58161,0.14014,0.22471,0.27358,0.57618,-1
0.0731,0.1249,0.1665,0.1496,0.1443,0.277,0.2555,0.1712,0.0466,0.1114,0.1739,0.316,0.3249,0.2164,0.2031,0.258,0.1796,0.2422,0.3609,0.181,0.2604,0.6572,0.9734,0.9757,0.8079,0.6521,0.4915,0.5363,0.7649,0.525,0.5101,0.4219,0.416,0.1906,0.0223,0.4219,0.5496,0.2483,0.2034,0.2729,0.2837,0.4463,0.3178,0.0807,0.1192,0.2134,0.3241,0.2945,0.1474,0.0211,0.0361,0.0444,0.023,0.029,0.0141,0.0161,0.0177,0.0194,0.0207,0.0057,0.12958,0.69806,0.090746,0.76784,0.33205,0.65496,0.80435,0.75826,0.68242,0.68303,0.24131,0.73272,0.4008,0.085107,0.038609,0.4419,0.71868,0.30973,0.0033051,0.8884,0.711,0.8797,0.045923,0.63126,0.7918,0.868,0.088411,0.9956,0.14495,0.76268,1
0.0363,0.0478,0.0298,0.021,0.1409,0.1916,0.1349,0.1613,0.1703,0.1444,0.1989,0.2154,0.2863,0.357,0.398,0.4359,0.5334,0.6304,0.6995,0.7435,0.8379,0.8641,0.9014,0.9432,0.9536,1,0.9547,0.9745,0.8962,0.7196,0.5462,0.3156,0.2525,0.1969,0.2189,0.1533,0.0711,0.1498,0.1755,0.2276,0.1322,0.1056,0.1973,0.1692,0.1881,0.1177,0.0779,0.0495,0.0492,0.0194,0.025,0.0115,0.019,0.0055,0.0096,0.005,0.0066,0.0114,0.0073,0.0033,0.78585,0.91879,0.025492,0.95441,0.93159,0.76424,0.29997,0.62021,0.16122,0.92473,0.50406,0.96088,0.9439,0.049007,0.17525,0.22208,0.32852,0.93151,0.19163,0.51888,0.34484,0.85142,0.32952,0.35682,0.032109,0.1307,0.0037311,0.10139,0.30475,0.61894,1
0.0366,0.0421,0.0504,0.025,0.0596,0.0252,0.0958,0.0991,0.1419,0.1847,0.2222,0.2648,0.2508,0.2291,0.1555,0.1863,0.2387,0.3345,0.5233,0.6684,0.7766,0.7928,0.794,0.9129,0.9498,0.9835,1,0.9471,0.8237,0.6252,0.4181,0.3209,0.2658,0.2196,0.1588,0.0561,0.0948,0.17,0.1215,0.1282,0.0386,0.1329,0.2331,0.2468,0.196,0.1985,0.157,0.0921,0.0549,0.0194,0.0166,0.0132,0.0027,0.0022,0.0059,0.0016,0.0025,0.0017,0.0027,0.0027,0.050309,0.90892,0.33573,0.11769,0.46799,0.37964,0.27409,0.24778,0.14119,0.29175,0.80125,0.059135,0.095615,0.080403,0.84863,0.23607,0.67699,0.1619,0.45024,0.46333,0.53759,0.67203,0.71652,0.69107,0.79648,0.3637,0.79767,0.81811,0.11192,0.31478,1
0.0209,0.0278,0.0115,0.0445,0.0427,0.0766,0.1458,0.143,0.1894,0.1853,0.1748,0.1556,0.1476,0.1378,0.2584,0.3827,0.4784,0.536,0.6192,0.7912,0.9264,1,0.908,0.7435,0.5557,0.3172,0.1295,0.0598,0.2722,0.3616,0.3293,0.4855,0.3936,0.1845,0.0342,0.2489,0.3837,0.3514,0.2654,0.176,0.1599,0.0866,0.059,0.0813,0.0492,0.0417,0.0495,0.0367,0.0115,0.0118,0.0133,0.0096,0.0014,0.0049,0.0039,0.0029,0.0078,0.0047,0.0021,0.0011,0.81562,0.80552,0.48692,0.024888,7.0993e-05,0.45407,0.27048,0.65321,0.66874,0.47599,0.66352,0.11957,0.55875,0.21329,0.82991,0.2754,0.83355,0.95294,0.68183,0.2462,0.74418,0.7985,0.031458,0.055032,0.034056,0.089057,0.29366,0.68584,0.98321,0.80159,1
0.0707,0.1252,0.1447,0.1644,0.1693,0.0844,0.0715,0.0947,0.1583,0.1247,0.234,0.1764,0.2284,0.3115,0.4725,0.5543,0.5386,0.3746,0.4583,0.5961,0.7464,0.7644,0.5711,0.6257,0.6695,0.7131,0.7567,0.8077,0.8477,0.9289,0.9513,0.7995,0.4362,0.4048,0.4952,0.1712,0.3652,0.3763,0.2841,0.0427,0.5331,0.6952,0.4288,0.3063,0.5835,0.5692,0.263,0.1196,0.0983,0.0374,0.0291,0.0156,0.0197,0.0135,0.0127,0.0138,0.0133,0.0131,0.0154,0.0218,0.86694,0.99968,0.22536,0.42204,0.72578,0.6438,0.76349,0.33079,0.65873,0.39154,0.036773,0.1308,0.3174,0.38854,0.20396,0.13812,0.042501,0.87852,0.46807,0.75798,0.92939,0.10048,0.24284,0.32688,0.018465,0.18274,0.71135,0.39517,0.81082,0.76323,1
0.0225,0.0019,0.0075,0.0097,0.0445,0.0906,0.0889,0.0655,0.1624,0.1452,0.1442,0.0948,0.0618,0.1641,0.0708,0.0844,0.259,0.2679,0.3094,0.4678,0.5958,0.7245,0.8773,0.9214,0.9282,0.9942,1,0.9071,0.8545,0.7293,0.6499,0.6071,0.5588,0.5967,0.6275,0.5459,0.4786,0.3965,0.2087,0.1651,0.1836,0.0652,0.0758,0.0486,0.0353,0.0297,0.0241,0.0379,0.0119,0.0073,0.0051,0.0034,0.0129,0.01,0.0044,0.0057,0.003,0.0035,0.0021,0.0027,0.1969,0.80077,0.55471,0.064384,0.39948,0.73515,0.31858,0.1192,0.64381,0.3189,0.20803,0.80272,0.94477,0.28798,0.48753,0.17638,0.96417,0.50717,0.12838,0.59486,0.1284,0.52267,0.30654,0.61282,0.44745,0.6127,0.4435,0.8914,0.46777,0.24573,-1
0.0065,0.0122,0.0068,0.0108,0.0217,0.0284,0.0527,0.0575,0.1054,0.1109,0.0937,0.0827,0.092,0.0911,0.1487,0.1666,0.1268,0.1374,0.1095,0.1286,0.2146,0.2889,0.4238,0.6168,0.8167,0.9622,0.828,0.5816,0.4667,0.3539,0.2727,0.141,0.1863,0.2176,0.236,0.1725,0.0589,0.0621,0.1847,0.2452,0.2984,0.3041,0.2275,0.148,0.1102,0.1178,0.0608,0.0333,0.0276,0.01,0.0023,0.0069,0.0025,0.0027,0.0052,0.0036,0.0026,0.0036,0.0006,0.0035,0.60739,0.32292,0.68115,0.1256,0.022924,0.63382,0.357,0.65686,0.18679,0.40019,0.40312,0.16017,0.6189,0.14971,0.53544,0.37232,0.1322,0.018244,0.80368,0.0048728,0.22099,0.058688,0.834,0.98282,0.83752,0.9266,0.29609,0.38226,0.38041,0.50747,-1
0.0068,0.0232,0.0513,0.0444,0.0249,0.0637,0.0422,0.113,0.1911,0.2475,0.1606,0.0922,0.2398,0.322,0.4295,0.2652,0.0666,0.1442,0.2373,0.2595,0.2493,0.3903,0.6384,0.8037,0.7026,0.6874,0.6997,0.8558,1,0.9621,0.8996,0.7575,0.6902,0.5686,0.4396,0.4546,0.2959,0.1587,0.1681,0.0842,0.1173,0.1754,0.2728,0.1705,0.0194,0.0213,0.0354,0.042,0.0093,0.0204,0.0199,0.0173,0.0163,0.0055,0.0045,0.0068,0.0041,0.0052,0.0194,0.0105,0.99668,0.025145,0.83494,0.092418,0.63774,0.78294,0.67548,0.94732,0.8221,0.87759,0.91824,0.52553,0.46439,0.63382,0.1955,0.98673,0.13686,0.77815,0.075973,0.6532,0.32801,0.81365,0.52183,0.45466,0.796,0.73821,0.26206,0.44599,0.69246,0.14702,-1
0.0228,0.0106,0.013,0.0842,0.1117,0.1506,0.1776,0.0997,0.1428,0.2227,0.2621,0.3109,0.2859,0.3316,0.3755,0.4499,0.4765,0.6254,0.7304,0.8702,0.9349,0.9614,0.9126,0.9443,1,0.9455,0.8815,0.752,0.7068,0.5986,0.3857,0.251,0.2162,0.0968,0.1323,0.1344,0.225,0.3244,0.3939,0.3806,0.3258,0.3654,0.2983,0.1779,0.1535,0.1199,0.0959,0.0765,0.0649,0.0313,0.0185,0.0098,0.0178,0.0077,0.0074,0.0095,0.0055,0.0045,0.0063,0.0039,0.042374,0.73282,0.89587,0.23269,0.43935,0.034487,0.033538,0.84115,0.61375,0.95316,0.60799,0.70859,0.87903,0.11369,0.91419,0.85885,0.65243,0.35946,0.12308,0.95533,0.33814,0.34569,0.11549,0.25333,0.93687,0.0052467,0.27524,0.87239,0.10478,0.1297,1
0.0047,0.0059,0.008,0.0554,0.0883,0.1278,0.1674,0.1373,0.2922,0.3469,0.3265,0.3263,0.2301,0.1253,0.2102,0.2401,0.1928,0.1673,0.1228,0.0902,0.1557,0.3291,0.5268,0.674,0.7906,0.8938,0.9395,0.9493,0.904,0.9151,0.8828,0.8086,0.718,0.672,0.6447,0.6879,0.6241,0.4936,0.4144,0.424,0.4546,0.4392,0.4323,0.4921,0.471,0.3196,0.2241,0.1806,0.099,0.0251,0.0129,0.0095,0.0126,0.0069,0.0039,0.0068,0.006,0.0045,0.0002,0.0029,0.13882,0.47279,0.4376,0.21119,0.59177,0.10086,0.15002,0.14639,0.93222,0.0043834,0.2183,0.9904,0.73269,0.73448,0.28277,0.73399,0.33012,0.84855,0.87106,0.49874,0.8673,0.82892,0.1393,0.037222,0.20131,0.45347,0.073701,0.88503,0.028393,0.66065,1
0.0123,0.0022,0.0196,0.0206,0.018,0.0492,0.0033,0.0398,0.0791,0.0475,0.1152,0.052,0.1192,0.1943,0.184,0.2077,0.1956,0.163,0.1218,0.1017,0.1354,0.3157,0.4645,0.5906,0.6776,0.8119,0.8594,0.9228,0.8387,0.7238,0.6292,0.5181,0.4629,0.5255,0.5147,0.3929,0.1279,0.0411,0.0859,0.1131,0.1306,0.1757,0.2648,0.1955,0.0656,0.058,0.0319,0.0301,0.0272,0.0074,0.0149,0.0125,0.0134,0.0026,0.0038,0.0018,0.0113,0.0058,0.0047,0.0071,0.22295,0.39259,0.39966,0.60981,0.61798,0.041741,0.42155,0.68749,0.66142,0.60143,0.34892,0.61044,0.58922,0.89002,0.95105,0.58977,0.97763,0.43306,0.68544,0.6046,0.67572,0.72496,0.40454,0.56477,0.86268,0.55293,0.79219,0.20779,0.19913,0.073231,-1
0.0249,0.0119,0.0277,0.076,0.1218,0.1538,0.1192,0.1229,0.2119,0.2531,0.2855,0.2961,0.3341,0.4287,0.5205,0.6087,0.7236,0.7577,0.7726,0.8098,0.8995,0.9247,0.9365,0.9853,0.9776,1,0.9896,0.9076,0.7306,0.5758,0.4469,0.3719,0.2079,0.0955,0.0488,0.1406,0.2554,0.2054,0.1614,0.2232,0.1773,0.2293,0.2521,0.1464,0.0673,0.0965,0.1492,0.1128,0.0463,0.0193,0.014,0.0027,0.0068,0.015,0.0012,0.0133,0.0048,0.0244,0.0077,0.0074,0.58301,0.86001,0.44012,0.39453,0.4541,0.16052,0.21289,0.66421,0.2492,0.78558,0.26792,0.29158,0.10064,0.44291,0.68317,0.23884,0.66334,0.60578,0.51191,0.7135,0.016983,0.33729,0.15931,0.045709,0.2558,0.36065,0.30042,0.79584,0.2635,0.20156,1
0.0293,0.0378,0.0257,0.0062,0.013,0.0612,0.0895,0.1107,0.0973,0.0751,0.0528,0.1209,0.1763,0.2039,0.2727,0.2321,0.2676,0.2934,0.3295,0.491,0.5402,0.6257,0.6826,0.7527,0.8504,0.8938,0.9928,0.9134,0.708,0.6318,0.6126,0.4638,0.2797,0.1721,0.1665,0.2561,0.2735,0.3209,0.2724,0.188,0.1552,0.2522,0.2121,0.1801,0.1473,0.0681,0.1091,0.0919,0.0397,0.0093,0.0076,0.0065,0.0072,0.0108,0.0051,0.0102,0.0041,0.0055,0.005,0.0087,0.67111,0.057462,0.30963,0.7267,0.049085,0.835,0.76007,0.51049,0.046692,0.63851,0.38539,0.55088,0.021878,0.40809,0.61791,0.24243,0.91564,0.37758,0.6165,0.062977,0.51744,0.21146,0.94445,0.93779,0.059681,0.025072,0.050337,0.69143,0.98738,0.85075,-1
0.0305,0.0363,0.0214,0.0227,0.0456,0.0665,0.0939,0.0972,0.2535,0.3127,0.2192,0.2621,0.2419,0.2179,0.1159,0.1237,0.0886,0.1755,0.1758,0.154,0.0512,0.1805,0.4039,0.5697,0.6577,0.7474,0.8543,0.9085,0.8668,0.8892,0.9065,0.8522,0.7204,0.62,0.6253,0.6848,0.7337,0.6281,0.5725,0.6119,0.5597,0.4965,0.5027,0.5772,0.5907,0.4803,0.3877,0.2779,0.1427,0.0424,0.0271,0.02,0.007,0.007,0.0086,0.0089,0.0074,0.0042,0.0055,0.0021,0.7232,0.38455,0.44695,0.9613,0.71969,0.55943,0.64331,0.43472,0.037141,0.11701,0.87828,0.54071,0.084297,0.41385,0.54873,0.018924,0.14417,0.72141,0.83255,0.18244,0.5123,0.33984,0.12984,0.45392,0.96868,0.67212,0.33609,0.62018,0.20664,0.5958,1
0.0353,0.0713,0.0326,0.0272,0.037,0.0792,0.1083,0.0687,0.0298,0.088,0.1078,0.0979,0.225,0.2819,0.2099,0.124,0.1699,0.0939,0.1091,0.141,0.1268,0.3151,0.143,0.2264,0.5756,0.7876,0.7158,0.5998,0.5583,0.6295,0.7659,0.894,0.8436,0.6807,0.838,1,0.9497,0.7866,0.5647,0.348,0.2585,0.2304,0.2948,0.3363,0.3017,0.2193,0.1316,0.1078,0.0559,0.0035,0.0098,0.0163,0.0242,0.0043,0.0202,0.0108,0.0037,0.0096,0.0093,0.0053,0.50444,0.14184,0.96439,0.75022,0.74009,0.17202,0.83965,0.38359,0.71827,0.71051,0.55502,0.90052,0.45515,0.8787,0.77795,0.81626,0.10404,0.31617,0.010568,0.87802,0.39604,0.45929,0.22778,0.86966,0.065506,0.67736,0.86236,0.40472,0.053522,0.67731,-1
0.0208,0.0186,0.0131,0.0211,0.061,0.0613,0.0612,0.0506,0.0989,0.1093,0.1063,0.1179,0.1291,0.1591,0.168,0.1918,0.1615,0.1647,0.1397,0.1426,0.2429,0.2816,0.429,0.6443,0.9061,1,0.8087,0.6119,0.526,0.3677,0.2746,0.102,0.1339,0.1582,0.1952,0.1787,0.0429,0.1096,0.1762,0.2481,0.315,0.292,0.1902,0.0696,0.0758,0.091,0.0441,0.0244,0.0265,0.0095,0.014,0.0074,0.0063,0.0081,0.0087,0.0044,0.0028,0.0019,0.0049,0.0023,0.64463,0.045681,0.46235,0.07874,0.4048,0.9388,0.2078,0.84229,0.24342,0.09775,0.32491,0.070929,0.18832,0.52722,0.23319,0.71293,0.93968,0.94935,0.52201,0.78564,0.92071,0.52875,0.026746,0.92704,0.22954,0.37848,0.15186,0.14606,0.086143,0.96495,-1
0.0443,0.0446,0.0235,0.1008,0.2252,0.2611,0.2061,0.1668,0.1801,0.3083,0.3794,0.5364,0.6173,0.7842,0.8392,0.9016,1,0.8911,0.8753,0.7886,0.7156,0.7581,0.6372,0.321,0.2076,0.2279,0.3309,0.2847,0.1949,0.1671,0.1025,0.1362,0.2212,0.1124,0.1677,0.1039,0.2562,0.2624,0.2236,0.118,0.1103,0.2831,0.2385,0.0255,0.1967,0.1483,0.0434,0.0627,0.0513,0.0473,0.0248,0.0274,0.0205,0.0141,0.0185,0.0055,0.0045,0.0115,0.0152,0.01,0.036369,0.69799,0.49599,0.86795,0.051413,0.54216,0.43835,0.25084,0.14568,0.58477,0.64854,0.98375,0.075126,0.12774,0.11658,0.77486,0.73453,0.84975,0.38386,0.93871,0.99176,0.40121,0.89079,0.68152,0.033078,0.43444,0.30955,0.046498,0.35808,0.80544,1
0.021,0.0121,0.0203,0.1036,0.1675,0.0418,0.0723,0.0828,0.0494,0.0686,0.1125,0.1741,0.271,0.3087,0.3575,0.4998,0.6011,0.647,0.8067,0.9008,0.8906,0.9338,1,0.9102,0.8496,0.7867,0.7688,0.7718,0.6268,0.4301,0.2077,0.1198,0.166,0.2618,0.3862,0.3958,0.3248,0.2302,0.325,0.4022,0.4344,0.4008,0.337,0.2518,0.2101,0.1181,0.115,0.055,0.0293,0.0183,0.0104,0.0117,0.0101,0.0061,0.0031,0.0099,0.008,0.0107,0.0161,0.0133,0.19385,0.91351,0.02154,0.36277,0.948,0.83026,0.73212,0.29148,0.043955,0.84756,0.6104,0.90569,0.32907,0.21154,0.35343,0.29575,0.02326,0.7756,0.058756,0.30021,0.5547,0.75192,0.7209,0.35724,0.12782,0.53295,0.53087,0.24568,0.8346,0.75106,1
0.0151,0.032,0.0599,0.105,0.1163,0.1734,0.1679,0.1119,0.0889,0.1205,0.0847,0.1518,0.2305,0.2793,0.3404,0.4527,0.695,0.8807,0.9154,0.7542,0.6736,0.7146,0.8335,0.7701,0.6993,0.6543,0.504,0.4926,0.4992,0.4161,0.1631,0.0404,0.0637,0.2962,0.3609,0.1866,0.0476,0.1497,0.2405,0.198,0.3175,0.2379,0.1716,0.1559,0.1556,0.0422,0.0493,0.0476,0.0219,0.0059,0.0086,0.0061,0.0015,0.0084,0.0128,0.0054,0.0011,0.0019,0.0023,0.0062,0.74955,0.38355,0.19229,0.79701,0.87739,0.31744,0.10475,0.56097,0.80883,0.23073,0.088963,0.93899,0.22729,0.16825,0.09962,0.79832,0.10807,0.29952,0.7143,0.85721,0.5708,0.026939,0.20405,0.80164,0.68003,0.051928,0.53932,0.17298,0.029031,0.79844,-1
0.0093,0.0269,0.0217,0.0339,0.0305,0.1172,0.145,0.0638,0.074,0.136,0.2132,0.3738,0.3738,0.2673,0.2333,0.5367,0.7312,0.7659,0.6271,0.4395,0.433,0.4326,0.5544,0.736,0.8589,0.8989,0.942,0.9401,0.9379,0.8575,0.7284,0.67,0.7547,0.8773,0.9919,0.9922,0.9419,0.8388,0.6605,0.4816,0.2917,0.1769,0.1136,0.0701,0.1578,0.1938,0.1106,0.0693,0.0176,0.0205,0.0309,0.0212,0.0091,0.0056,0.0086,0.0092,0.007,0.0116,0.006,0.011,0.30818,0.24311,0.89813,0.78639,0.82765,0.23274,0.44456,0.62666,0.84072,0.19599,0.36681,0.67186,0.33717,0.35472,0.38084,0.50861,0.10735,0.8727,0.77812,0.81773,0.23213,0.37465,0.34059,0.57626,0.028296,0.23141,0.7945,0.26014,0.13281,0.27387,-1
0.0715,0.0849,0.0587,0.0218,0.0862,0.1801,0.1916,0.1896,0.296,0.4186,0.4867,0.5249,0.5959,0.6855,0.8573,0.9718,0.8693,0.8711,0.8954,0.9922,0.898,0.8158,0.8373,0.7541,0.5893,0.5488,0.5643,0.5406,0.4783,0.4439,0.3698,0.2574,0.1478,0.1743,0.1229,0.1588,0.1803,0.1436,0.1667,0.263,0.2234,0.1239,0.0869,0.2092,0.1499,0.0676,0.0899,0.0927,0.0658,0.0086,0.0216,0.0153,0.0121,0.0096,0.0196,0.0042,0.0066,0.0099,0.0083,0.0124,0.74905,0.9071,0.38929,0.33135,0.44864,0.70199,0.49055,0.44972,0.22952,0.037828,0.93995,0.72655,0.55245,0.36456,0.97799,0.1179,0.28182,0.37508,0.71665,0.83041,0.79821,0.18668,0.59629,0.68026,0.8519,0.42607,0.060768,0.95667,0.18636,0.41287,1
0.0459,0.0437,0.0347,0.0456,0.0067,0.089,0.1798,0.1741,0.1598,0.1408,0.2693,0.3259,0.4545,0.5785,0.4471,0.2231,0.2164,0.3201,0.2915,0.4235,0.446,0.238,0.6415,0.8966,0.8918,0.7529,0.6838,0.839,1,0.8362,0.5427,0.4577,0.8067,0.6973,0.3915,0.1558,0.1598,0.2161,0.5178,0.4782,0.2344,0.3599,0.2785,0.1807,0.0352,0.0473,0.0322,0.0408,0.0163,0.0088,0.0121,0.0067,0.0032,0.0109,0.0164,0.0151,0.007,0.0085,0.0117,0.0056,0.85204,0.70202,0.10205,0.94999,0.88447,0.51978,0.69443,0.86443,0.74784,0.82755,0.92281,0.09337,0.96831,0.55168,0.61411,0.87617,0.86278,0.79842,0.11985,0.43545,0.23784,0.37198,0.61249,0.58243,0.28222,0.14278,0.84268,0.60892,0.95051,0.27342,-1
0.0216,0.0215,0.0273,0.0139,0.0357,0.0785,0.0906,0.0908,0.1151,0.0973,0.1203,0.1102,0.1192,0.1762,0.239,0.2138,0.1929,0.1765,0.0746,0.1265,0.2005,0.1571,0.2605,0.5386,0.844,1,0.8684,0.6742,0.5537,0.4638,0.3609,0.2055,0.162,0.2092,0.31,0.2344,0.1058,0.0383,0.0528,0.1291,0.2241,0.1915,0.1587,0.0942,0.084,0.067,0.0342,0.0469,0.0357,0.0136,0.0082,0.014,0.0044,0.0052,0.0073,0.0021,0.0047,0.0024,0.0009,0.0017,0.099355,0.89564,0.3497,0.82849,0.85372,0.28615,0.93081,0.95396,0.28195,0.028262,0.26086,0.13547,0.22723,0.13134,0.57592,0.20544,0.10976,0.81679,0.32363,0.54058,0.57331,0.33085,0.065747,0.90906,0.42199,0.98812,0.93104,0.60856,0.99689,0.21485,-1
0.0408,0.0653,0.0397,0.0604,0.0496,0.1817,0.1178,0.1024,0.0583,0.2176,0.2459,0.3332,0.3087,0.2613,0.3232,0.3731,0.4203,0.5364,0.7062,0.8196,0.8835,0.8299,0.7609,0.7605,0.8367,0.8905,0.7652,0.5897,0.3037,0.0823,0.2787,0.7241,0.8032,0.805,0.7676,0.7468,0.6253,0.173,0.2916,0.5003,0.522,0.4824,0.4004,0.3877,0.1651,0.0442,0.0663,0.0418,0.0475,0.0235,0.0066,0.0062,0.0129,0.0184,0.0069,0.0198,0.0199,0.0102,0.007,0.0055,0.59778,0.94797,0.17855,0.62913,0.64774,0.027673,0.15515,0.81653,0.33825,0.36724,0.26457,0.81064,0.40015,0.71039,0.44971,0.29195,0.57409,0.99901,0.86618,0.9136,0.61943,0.018512,0.17657,0.89837,0.65331,0.84809,0.75926,0.25058,0.95054,0.28461,-1
0.0137,0.0297,0.0116,0.0082,0.0241,0.0253,0.0279,0.013,0.0489,0.0874,0.11,0.1084,0.1094,0.1023,0.0601,0.0906,0.1313,0.2758,0.366,0.5269,0.581,0.6181,0.5875,0.4639,0.5424,0.7367,0.9089,1,0.8247,0.5441,0.3349,0.0877,0.16,0.4169,0.6576,0.739,0.7963,0.7493,0.6795,0.4713,0.2355,0.1704,0.2728,0.4016,0.4125,0.347,0.2739,0.179,0.0922,0.0276,0.0169,0.0081,0.004,0.0025,0.0036,0.0058,0.0067,0.0035,0.0043,0.0033,0.7206,0.93669,0.24909,0.29562,0.50678,0.1528,0.052681,0.72006,0.32921,0.17481,0.78033,0.84529,0.99077,0.35499,0.44577,0.29084,0.92195,0.045089,0.67517,0.59772,0.45373,0.68523,0.17345,0.45633,0.9216,0.92807,0.11836,0.785,0.95941,0.68454,1
0.0132,0.008,0.0188,0.0141,0.0436,0.0668,0.0609,0.0131,0.0899,0.0922,0.1445,0.1475,0.2087,0.2558,0.2603,0.1985,0.2394,0.3134,0.4077,0.4529,0.4893,0.5666,0.6234,0.6741,0.8282,0.8823,0.9196,0.8965,0.7549,0.6736,0.6463,0.5007,0.3663,0.2298,0.1362,0.2123,0.2395,0.2673,0.2865,0.206,0.1659,0.2633,0.2552,0.1696,0.1467,0.1286,0.0926,0.0716,0.0325,0.0258,0.0136,0.0044,0.0028,0.0021,0.0022,0.0048,0.0138,0.014,0.0028,0.0064,0.56871,0.99679,0.64098,0.617,0.076023,0.78392,0.60868,0.12204,0.066634,0.50407,0.40191,0.10297,0.46202,0.64708,0.40744,0.87544,0.97837,0.2368,0.23932,0.0068711,0.75441,0.67234,0.85647,0.18217,0.29235,0.87247,0.12596,0.011285,0.22675,0.43476,-1
0.1313,0.2339,0.3059,0.4264,0.401,0.1791,0.1853,0.0055,0.1929,0.2231,0.2907,0.2259,0.3136,0.3302,0.366,0.3956,0.4386,0.467,0.5255,0.3735,0.2243,0.1973,0.4337,0.6532,0.507,0.2796,0.4163,0.595,0.5242,0.4178,0.3714,0.2375,0.0863,0.1437,0.2896,0.4577,0.3725,0.3372,0.3803,0.4181,0.3603,0.2711,0.1653,0.1951,0.2811,0.2246,0.1921,0.15,0.0665,0.0193,0.0156,0.0362,0.021,0.0154,0.018,0.0013,0.0106,0.0127,0.0178,0.0231,0.23511,0.39694,0.97575,0.9885,0.36241,0.51875,0.24294,0.082954,0.077153,0.49599,0.88646,0.7559,0.98453,0.42528,0.89859,0.16099,0.9044,0.43091,0.028475,0.27234,0.56587,0.83304,0.57954,0.32785,0.9668,0.3946,0.3,0.12347,0.26047,0.55976,1
